                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.0353,                 1.2327,                 1.0799,                0.67671,                 0.7318,                0.72317,                0.51961,                0.91674,                 1.1079,                 1.0776,             0.00043325,             0.00043325,             0.00043325
                    134,                 1.0332,                 1.2385,                 1.0845,                0.67723,                0.70598,                0.72492,                0.52747,                0.92379,                 1.0715,                  1.076,             0.00042706,             0.00042706,             0.00042706
                    135,                 1.0424,                 1.2313,                 1.0715,                0.69548,                0.69666,                0.73008,                0.52573,                0.90101,                 1.0712,                 1.0705,             0.00042087,             0.00042087,             0.00042087
                    136,                 1.0219,                 1.1954,                 1.0706,                0.69897,                0.70038,                0.73991,                0.53226,                 0.9103,                 1.0662,                 1.0739,             0.00041469,             0.00041469,             0.00041469
                    137,                 1.0249,                  1.221,                 1.0692,                0.67259,                0.69791,                0.73716,                0.53696,                0.89921,                 1.0852,                 1.0676,              0.0004085,              0.0004085,              0.0004085
                    138,                 1.0124,                 1.1952,                 1.0681,                0.71559,                0.69244,                0.73277,                0.52316,                0.91213,                 1.0642,                 1.0689,             0.00040231,             0.00040231,             0.00040231
                    139,                 1.0372,                 1.2115,                 1.0813,                  0.733,                0.70207,                0.74568,                0.54206,                0.89633,                 1.0398,                 1.0647,             0.00039613,             0.00039613,             0.00039613
                    140,                   1.02,                 1.2042,                 1.0704,                0.73176,                0.68132,                0.74996,                0.54809,                 0.8888,                 1.0311,                 1.0605,             0.00038994,             0.00038994,             0.00038994
                    141,                 1.0244,                  1.203,                 1.0749,                0.71638,                0.69693,                0.75004,                0.54318,                0.89809,                 1.0478,                 1.0641,             0.00038375,             0.00038375,             0.00038375
                    142,                 1.0116,                 1.1846,                 1.0651,                0.71273,                0.73152,                 0.7581,                0.55206,                0.88328,                 1.0432,                 1.0559,             0.00037756,             0.00037756,             0.00037756
                    143,                 1.0141,                 1.2005,                  1.082,                0.68512,                 0.7201,                0.75071,                0.54225,                0.90026,                 1.0579,                 1.0619,             0.00037138,             0.00037138,             0.00037138
